customer,product,amount,unit_price
Hannah,Jeans,1,40.0
Charlie,Scarf,1,10.0
Alice,Scarf,2,10.0
Diana,Hat,3,20.0
Fiona,Scarf,3,10.0
Fiona,Shorts,3,25.0
Diana,Jeans,2,40.0
Charlie,Jeans,2,40.0
Bob,Jacket,4,80.0
Hannah,Socks,4,5.0
Bob,Socks,2,5.0
Hannah,Hat,4,20.0
Ethan,Jeans,1,40.0
Charlie,Hat,1,20.0
Diana,Socks,2,5.0
Bob,Sneakers,3,50.0
George,T-shirt,3,15.0
Ethan,Jacket,1,80.0
George,Shorts,2,25.0
Bob,Shorts,1,25.0
Charlie,Jeans,1,40.0
Alice,Sneakers,2,50.0
Diana,Scarf,3,10.0
Bob,Hat,1,20.0
Alice,Jeans,2,40.0
Hannah,Jacket,1,80.0
Fiona,Jeans,1,40.0
Hannah,T-shirt,2,15.0
George,Scarf,4,10.0
Alice,Scarf,4,10.0
Charlie,Socks,2,5.0
Charlie,Hat,3,20.0
Hannah,Jacket,1,80.0
Diana,Hat,4,20.0
George,Shorts,1,25.0
Bob,Hat,4,20.0
Charlie,Scarf,2,10.0
Diana,T-shirt,4,15.0
Fiona,Shorts,4,25.0
Fiona,Socks,4,5.0
Ethan,Jacket,1,80.0
Fiona,Sneakers,1,50.0
Ethan,T-shirt,4,15.0
Fiona,Sneakers,2,50.0
Bob,Sneakers,2,50.0
Ethan,T-shirt,2,15.0
George,Socks,2,5.0
Charlie,Sneakers,3,50.0
Fiona,T-shirt,3,15.0
Charlie,Sneakers,4,50.0
Ethan,Jacket,4,80.0
Alice,Jeans,1,40.0
Diana,Sneakers,1,50.0
Hannah,T-shirt,3,15.0
Diana,Jacket,3,80.0
Charlie,Socks,1,5.0
Alice,Jacket,2,80.0
Bob,Socks,1,5.0
Fiona,Scarf,1,10.0
Fiona,Hat,3,20.0
Charlie,Jacket,4,80.0
Hannah,Socks,2,5.0
Fiona,Sneakers,2,50.0
George,Hat,3,20.0
Charlie,Jacket,1,80.0
George,T-shirt,2,15.0
Fiona,Sneakers,1,50.0
Hannah,Jacket,3,80.0
Bob,Sneakers,3,50.0
Fiona,Jacket,1,80.0
Fiona,Shorts,1,25.0
Ethan,Sneakers,2,50.0
Bob,Socks,3,5.0
Bob,T-shirt,1,15.0
George,Shorts,4,25.0
Charlie,Scarf,4,10.0
George,Socks,4,5.0
Bob,Shorts,2,25.0
Charlie,Shorts,1,25.0
Alice,Hat,1,20.0
Fiona,Hat,1,20.0
Bob,Socks,2,5.0
